LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2041,Forest,154886.18,154606.1,155126.25
BAU,CanESM2,rcp45,2041,Grassland,44387.33,43846.9,45031.85
BAU,CanESM2,rcp45,2041,Shrubland,110170.2,109939.475,110446.15
BAU,CanESM2,rcp45,2041,SnowIce,28,28,28
BAU,CanESM2,rcp45,2041,Water,18655,18655,18655
BAU,CanESM2,rcp45,2041,Wetland,2680.63,2611.2749999999996,2741.3
BAU,CanESM2,rcp45,2042,Agriculture,43317.82,42862.925,43804.475
BAU,CanESM2,rcp45,2042,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2042,Developed,30662.21,29724.949999999997,31486.825
BAU,CanESM2,rcp45,2042,Forest,154848.1,154564.325,155099.02500000002
BAU,CanESM2,rcp45,2042,Grassland,44342.56,43760.125,44984.75
BAU,CanESM2,rcp45,2042,Shrubland,110122.51,109874.775,110414.725
BAU,CanESM2,rcp45,2042,SnowIce,28,28,28
BAU,CanESM2,rcp45,2042,Water,18655,18655,18655
BAU,CanESM2,rcp45,2042,Wetland,2680.8,2609.9,2742.1499999999996
BAU,CanESM2,rcp45,2043,Agriculture,43271.77,42779.25,43799.4
BAU,CanESM2,rcp45,2043,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2043,Developed,30851.66,29922,31582
BAU,CanESM2,rcp45,2043,Forest,154806.14,154508.7,155077.9
BAU,CanESM2,rcp45,2043,Grassland,44290.11,43702.5,44958.975
